addr,current_names,proposed_name,kind,evidence,verdict,verifier_note
0x800A2880,g_spu_voice_alloc_current_a0;D_800A2880,_spu_rev_reserve_wa,base,"HI16/LO16 XREF `_spu_rev_reserve_wa` (base, offsets +0) resolved to 0x800A2880 by 2 accepted verbatim module(s): LIBSPU/S_M_M@0x800893D8; LIBSPU/S_SR@0x80089D60",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_spu_voice_alloc_current_a0/D_800A2880; S_M_M/S_SR; g_spu_voice_alloc_current_a0 is wrong
0x800A2D44,g_spu_init_reg_D1_val;D_800A2D44,_spu_rev_startaddr,base,"HI16/LO16 XREF `_spu_rev_startaddr` (base, offsets +0) resolved to 0x800A2D44 by 3 accepted verbatim module(s): LIBSPU/S_CRWA@0x8008A928; LIBSPU/S_INI@0x800885CC; LIBSPU/S_SRMP@0x80089F3C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_spu_init_reg_D1_val/D_800A2D44; main.c:65 already annotates D_800A2D44 as _spu_rev_startaddr; g_spu_init_reg_D1_val is wrong
0x800A2CF8,g_spu_reverb_mode;D_800A2CF8,_spu_transMode,base,"HI16/LO16 XREF `_spu_transMode` (base, offsets +0) resolved to 0x800A2CF8 by 3 accepted verbatim module(s): LIBSPU/S_CRWA@0x8008A928; LIBSPU/S_INI@0x800885CC; LIBSPU/S_STM@0x8008AE7C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_spu_reverb_mode/D_800A2CF8; set by SpuSetTransferMode (main.c:2665 `g_spu_reverb_mode = transMode`) — current name is WRONG (not reverb), Sony name confirmed"
0x800A2878,g_snd_reverb_flag;D_800A2878,_spu_trans_mode,base,"HI16/LO16 XREF `_spu_trans_mode` (base, offsets +0) resolved to 0x800A2878 by 2 accepted verbatim module(s): LIBSPU/S_ITC@0x8008AEB0; LIBSPU/S_STM@0x8008AE7C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_reverb_flag/D_800A2878; main.c:2664 `g_snd_reverb_flag = mode` in SpuSetTransferMode and tested in SpuIsTransferCompleted — current name is wrong; NOTE two near-identical Sony names (_spu_transMode 0x800A2CF8 vs _spu_trans_mode 0x800A2878) both r
0x800A2CF4,g_spu_xfer_addr;D_800A2CF4,_spu_tsa,base,"HI16/LO16 XREF `_spu_tsa` (base, offsets +0) resolved to 0x800A2CF4 by 1 accepted verbatim module(s): LIBSPU/S_STSA@0x8008AE24",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_xfer_addr/D_800A2CF4; transfer start address, shifted by mem_mode_plus in _spu_t calls — consistent"
0x800A28D4,g_satan0_gauge_data_block_800A28D4;D_800A28D4,_spu_zerobuf,base,"HI16/LO16 XREF `_spu_zerobuf` (base, offsets +0) resolved to 0x800A28D4 by 1 accepted verbatim module(s): LIBSPU/S_CRWA@0x8008A928",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_satan0_gauge_data_block_800A28D4/D_800A28D4; S_CRWA (SpuClearReverbWorkArea) source buffer; g_satan0_gauge_data_block_800A28D4 (0 refs) is a false game claim
0x80106F28,g_seq_bank_table;D_80106F28,_ss_score,base,"HI16/LO16 XREF `_ss_score` (base, offsets +0) resolved to 0x80106F28 by 7 accepted verbatim module(s): LIBSND/MIDITIME@0x80085064; LIBSND/NEXT@0x80085114; LIBSND/PAUSE@0x800848AC; LIBSND/REPLAY@0x80085210; LIBSND/SSCALL@0x80083F6C; LIBSND/SSSTOP@0x80085270; LIBSND/TEMPO@0x800856B0",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=7 offs=['0x0']; current=g_seq_bank_table/D_80106F28; 7 modules agree; main.c:231 comment already says _ss_score; main.c indexes it as a per-SEP pointer table with 0xB0-byte seq records — matches Sony's `_ss_score[][]`; g_seq_bank_table (0 refs) retires
0x80103600,g_memcard_data;D_80103600,_svm_auto_kof_mode,base,"HI16/LO16 XREF `_svm_auto_kof_mode` (base, offsets +0) resolved to 0x80103600 by 1 accepted verbatim module(s): LIBSND/VS_AUTO@0x80087F00",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_memcard_data/D_80103600; written by SsSetAutoKeyOffMode (main.c:1303) — g_memcard_data is WRONG
0x801027F0,D_801027F0,_svm_cur,base,"HI16/LO16 XREF `_svm_cur` (base, offsets 0x1, 0x10, 0x11, 0x2, 0x6, 0x7, 0xC) resolved to 0x801027F0 by 2 accepted verbatim module(s): LIBSND/VM_N2P@0x80086B38; LIBSND/VM_VSU@0x80087E3C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x1', '0x10', '0x11', '0x2', '0x6', '0x7', '0xc']; current=D_801027F0; VM_N2P+VM_VSU refs offsets 1/2/6/7/C/10/11; include/sound.h:28 already declares `struct struct_svm D_801027F0 /* _svm_cur */`; main.c uses .voice/.field_7_fake_program — consistent"
0x801027F1,g_char_curr_keyframe_idx_p3_plus_13;D_801027F1,_svm_cur_plus_0x1,offset,module relocation `(0x1+sym:_svm_cur)` -> 0x801027F1; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_VSU@0x80087E3C']; current=g_char_curr_keyframe_idx_p3_plus_13/D_801027F1; struct_svm.vabId (sound.h); g_char_curr_keyframe_idx_p3_plus_13 contradicted
0x801027F2,g_char_p3_byte_f2_801027F2;D_801027F2,_svm_cur_plus_0x2,offset,module relocation `(0x2+sym:_svm_cur)` -> 0x801027F2; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_N2P@0x80086B38']; current=g_char_p3_byte_f2_801027F2/D_801027F2; struct_svm.note; g_char_p3_byte_f2 contradicted
0x801027F6,g_char_p3_field_96;D_801027F6,_svm_cur_plus_0x6,offset,module relocation `(0x6+sym:_svm_cur)` -> 0x801027F6; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_VSU@0x80087E3C']; current=g_char_p3_field_96/D_801027F6; struct_svm.prog; g_char_p3_field_96 contradicted
0x801027F7,g_weapon_frame_row;D_801027F7,_svm_cur_plus_0x7,offset,module relocation `(0x7+sym:_svm_cur)` -> 0x801027F7; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,"verifier 2026-09-07: resolver=manifest; refs=2 by ['LIBSND/VM_N2P@0x80086B38', 'LIBSND/VM_VSU@0x80087E3C']; current=g_weapon_frame_row/D_801027F7; struct_svm.field_7_fake_program (2 modules); g_weapon_frame_row contradicted"
0x801027FC,g_weapon_frame_col;D_801027FC,_svm_cur_plus_0xC,offset,module relocation `(0xC+sym:_svm_cur)` -> 0x801027FC; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_N2P@0x80086B38']; current=g_weapon_frame_col/D_801027FC; struct_svm.tone; g_weapon_frame_col contradicted
0x80102800,g_pair_state_a_80102800;D_80102800,_svm_cur_plus_0x10,offset,module relocation `(0x10+sym:_svm_cur)` -> 0x80102800; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_N2P@0x80086B38']; current=g_pair_state_a_80102800/D_80102800; struct_svm.tone_center; g_pair_state_a_80102800 contradicted
0x80102801,D_80102801,_svm_cur_plus_0x11,offset,module relocation `(0x11+sym:_svm_cur)` -> 0x80102801; the existing symbol(s) here are field-level claims inside _svm_cur,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/VM_N2P@0x80086B38']; current=D_80102801; struct_svm.tone_shift; only D_80102801
0x800FF6A0,g_voice_state_ptr;D_800FF6A0,_svm_pg,base,"HI16/LO16 XREF `_svm_pg` (base, offsets +0) resolved to 0x800FF6A0 by 1 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_voice_state_ptr/D_800FF6A0; sound.h:31 documents the _svm_pg ProgAtr table; g_voice_state_ptr (0 refs) retires
0x800F5750,g_buki_cmd_buf_id;D_800F5750,_svm_rattr,base,"HI16/LO16 XREF `_svm_rattr` (base, offsets 0x4, 0x8, 0xA) resolved to 0x800F5750 by 2 accepted verbatim module(s): LIBSND/UT_RDEP@0x80085E4C; LIBSND/UT_REV@0x80085EE4",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0', '0x4', '0x8', '0xa']; current=g_buki_cmd_buf_id/D_800F5750; UT_RDEP+UT_REV refs offsets 4/8/A; SsUtSetReverbType writes D_800F5750=1 (mask) and passes &D_800F5750 to SpuSetReverbModeParam — it IS a SpuReverbAttr; g_buki_cmd_buf_id is a false game claim"
0x800F5754,g_buki_cmd_buf_arg;D_800F5754,_svm_rattr_plus_0x4,offset,module relocation `(0x4+sym:_svm_rattr)` -> 0x800F5754; the existing symbol(s) here are field-level claims inside _svm_rattr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/UT_REV@0x80085EE4']; current=g_buki_cmd_buf_arg/D_800F5754; SsUtSetReverbType writes (type | 0x100) here and SsUtGetReverbType reads it = SpuReverbAttr.mode; g_buki_cmd_buf_arg contradicted
0x800F5758,g_buki_cmd_buf_x;D_800F5758,_svm_rattr_plus_0x8,offset,module relocation `(0x8+sym:_svm_rattr)` -> 0x800F5758; the existing symbol(s) here are field-level claims inside _svm_rattr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/UT_RDEP@0x80085E4C']; current=g_buki_cmd_buf_x/D_800F5758; SsUtSetReverbDepth left; g_buki_cmd_buf_x contradicted
0x800F575A,g_buki_cmd_buf_y;D_800F575A,_svm_rattr_plus_0xA,offset,module relocation `(0xA+sym:_svm_rattr)` -> 0x800F575A; the existing symbol(s) here are field-level claims inside _svm_rattr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/UT_RDEP@0x80085E4C']; current=g_buki_cmd_buf_y/D_800F575A; SsUtSetReverbDepth right; g_buki_cmd_buf_y contradicted
0x800FF578,g_memcard_busy;D_800FF578,_svm_stereo_mono,base,"HI16/LO16 XREF `_svm_stereo_mono` (base, offsets +0) resolved to 0x800FF578 by 1 accepted verbatim module(s): LIBSND/VS_MONO@0x80087F10",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_memcard_busy/D_800FF578; SsSetMono/SsSetStereo write 1/0 (main.c:1306-1311) — g_memcard_busy is WRONG
0x80101BC8,g_weapon_frame_data_base;D_80101BC8,_svm_tn,base,"HI16/LO16 XREF `_svm_tn` (base, offsets +0) resolved to 0x80101BC8 by 2 accepted verbatim module(s): LIBSND/VM_N2P@0x80086B38; LIBSND/VM_VSU@0x80087E3C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_weapon_frame_data_base/D_80101BC8; main.c:1072 already declares `VagAtr *D_80101BC8; /* _svm_tn */`; g_weapon_frame_data_base is a false game claim
0x80107808,g_snd_ch_count;D_80107808,_svm_vab_count,base,"HI16/LO16 XREF `_svm_vab_count` (base, offsets +0) resolved to 0x80107808 by 2 accepted verbatim module(s): LIBSND/VS_VAB@0x80087F64; LIBSND/VS_VH@0x80088058",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_ch_count/D_80107808; decremented in SsVabClose path (main.c:1333) — consistent
0x800F6660,g_snd_ch_texture_base_ptr;D_800F6660,_svm_vab_pg,base,"HI16/LO16 XREF `_svm_vab_pg` (base, offsets +0) resolved to 0x800F6660 by 2 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C; LIBSND/VS_VH@0x80088058",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_ch_texture_base_ptr/D_800F6660; per-VAB ProgAtr pointer table; g_snd_ch_texture_base_ptr is wrong
0x80107810,g_snd_ch_addr;D_80107810,_svm_vab_start,base,"HI16/LO16 XREF `_svm_vab_start` (base, offsets +0) resolved to 0x80107810 by 4 accepted verbatim module(s): LIBSND/UT_GVBA@0x800859F0; LIBSND/VS_VAB@0x80087F64; LIBSND/VS_VH@0x80088058; LIBSND/VS_VTB@0x800884C4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=4 offs=['0x0']; current=g_snd_ch_addr/D_80107810; SpuFree(g_snd_ch_addr[idx]) in SsVabClose — VAB start addr per slot; Sony name confirmed
0x800F6700,g_snd_ch_texture_meta_ptr;D_800F6700,_svm_vab_tn,base,"HI16/LO16 XREF `_svm_vab_tn` (base, offsets +0) resolved to 0x800F6700 by 2 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C; LIBSND/VS_VH@0x80088058",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_ch_texture_meta_ptr/D_800F6700; per-VAB VagAtr pointer table; g_snd_ch_texture_meta_ptr is wrong
0x801077C8,g_char_p21_field_310;D_801077C8,_svm_vab_total,base,"HI16/LO16 XREF `_svm_vab_total` (base, offsets +0) resolved to 0x801077C8 by 2 accepted verbatim module(s): LIBSND/VS_VH@0x80088058; LIBSND/VS_VTB@0x800884C4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_char_p21_field_310/D_801077C8; g_char_p21_field_310 (0 refs) is a false game claim
0x80102A68,g_snd_ch_status;D_80102A68,_svm_vab_used,base,"HI16/LO16 XREF `_svm_vab_used` (base, offsets +0) resolved to 0x80102A68 by 6 accepted verbatim module(s): LIBSND/UT_GVBA@0x800859F0; LIBSND/VM_VSU@0x80087E3C; LIBSND/VS_VAB@0x80087F64; LIBSND/VS_VFB@0x80087FE8; LIBSND/VS_VH@0x80088058; LIBSND/VS_VTB@0x800884C4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=6 offs=['0x0']; current=g_snd_ch_status/D_80102A68; u8 per-slot used flags (0/1/2) in SsVabOpen*/Close/Fake/Trans — Sony name confirmed; g_snd_ch_status is a near-synonym
0x800F66B8,g_snd_ch_texture_tpage;D_800F66B8,_svm_vab_vh,base,"HI16/LO16 XREF `_svm_vab_vh` (base, offsets +0) resolved to 0x800F66B8 by 2 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C; LIBSND/VS_VH@0x80088058",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_ch_texture_tpage/D_800F66B8; per-VAB VabHdr pointer table; g_snd_ch_texture_tpage is wrong
0x80101BC4,g_main_value_101BC4;D_80101BC4,_svm_vh,base,"HI16/LO16 XREF `_svm_vh` (base, offsets +0) resolved to 0x80101BC4 by 1 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_main_value_101BC4/D_80101BC4; current VabHdr pointer; g_main_value_101BC4 is a placeholder
0x800FF634,g_snd_ch_texture_max_frame;D_800FF634,kMaxPrograms,base,"HI16/LO16 XREF `kMaxPrograms` (base, offsets +0) resolved to 0x800FF634 by 2 accepted verbatim module(s): LIBSND/VM_VSU@0x80087E3C; LIBSND/VS_VH@0x80088058",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_snd_ch_texture_max_frame/D_800FF634; VM_VSU+VS_VH; declared `s16 D_800FF634` in main.c — matches Sony's short kMaxPrograms; not otherwise an identifier in the tree
0x8009C928,g_trig_sin_cos_table_packed,rcossin_tbl,base,"HI16/LO16 XREF `rcossin_tbl` (base, offsets +0) resolved to 0x8009C928 by 5 accepted verbatim module(s): LIBGTE/FGO_01@0x8007F35C; LIBGTE/FGO_03@0x8007F5EC; LIBGTE/FGO_04@0x8007F87C; LIBGTE/FGO_05@0x8007FA1C; LIBGTE/FGO_06@0x8007FBBC",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=5 offs=['0x0']; current=g_trig_sin_cos_table_packed; dlabel D_8009C928 (asm/data/7D920.data.s:25573) — NOT C-defined; g_trig_sin_cos_table_packed is a named_syms alias with 0 src refs; 5 LIBGTE FGO modules agree
0x8009BF94,g_sin_lut_q1,rsin_tbl,base,"HI16/LO16 XREF `rsin_tbl` (base, offsets +0) resolved to 0x8009BF94 by 2 accepted verbatim module(s): LIBGTE/GEO_00@0x8007DF20; LIBGTE/GEO_01@0x8007DFEC",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_sin_lut_q1; dlabel D_8009BF94 (asm/data/7D920.data.s:24336) — NOT C-defined; g_sin_lut_q1 is a linker alias used by display.c (6 refs) as a sine LUT; no `rsin_tbl` identifier elsewhere
